id,lat,long
5941,30.599674,-97.63058
4162,30.310559,-97.709705
1502,29.828217,-97.944615
10,30.405429,-97.968645
6029,30.167774,-97.628837
5985,30.393899,-97.628423
2800,30.27744,-97.695931
780,29.773576,-97.997444
1380,30.255864,-98.132785
7352,30.43402,-97.896425
1207,30.410372,-97.51129
4546,30.367369,-97.528273
1484,29.847718,-97.981245
5360,30.632687,-97.689824
6669,30.47881,-97.541125
6187,30.284031,-97.823918
3594,30.383761,-97.713133
3793,30.285269,-97.73366
5634,30.670731,-97.27318
4638,30.529622,-97.844844
1115,30.709085,-98.002919
6402,29.921921,-97.893013
4373,30.366049,-97.681247
6623,30.558551,-97.60942
5823,30.754321,-97.437996
840,29.894799,-97.945184
7210,30.822921,-97.826897
4742,30.504523,-97.819604
593,30.488497,-97.600807
124,30.529538,-97.693185
6938,30.32696,-97.582044
2214,30.307834,-97.892772
5611,30.296791,-97.476401
7177,30.503991,-97.348564
5801,30.645128,-97.302222
2590,30.255017,-97.803706
2,30.595955,-97.873341
2331,30.185813,-97.874961
1305,29.967769,-98.189493
1349,30.06887,-98.125564
1753,30.140648,-97.567176
2192,30.112981,-97.792339
631,30.51116,-97.432012
6693,30.459104,-97.616753
7179,30.4626,-97.270295
5772,30.563014,-97.388966
7004,30.211863,-97.712189
1082,30.747149,-97.300292
7400,30.337158,-97.695763
6564,30.308097,-97.950019
6386,30.165848,-97.696766
2578,30.270391,-97.791447
4659,30.475362,-97.809721
1925,29.891997,-97.914136
1016,30.657724,-97.497322
1039,30.707511,-97.937796
1662,29.879754,-97.942292
7121,30.830661,-97.562261
591,29.979146,-97.846817
1238,30.026318,-98.043982
4179,30.304233,-97.681103
5111,30.424826,-97.672301
1094,29.934113,-98.150473
6567,30.259944,-97.907605
3460,30.25587,-97.701428
812,30.103692,-97.899298
5489,30.789934,-97.62124
794,30.501019,-97.716276
1941,30.124197,-98.031112
2939,30.180521,-97.76206
3246,30.261922,-97.73693
7134,30.799024,-97.452087
1226,30.740209,-97.493845
2255,30.231634,-97.999975
1698,30.008939,-97.764874
3175,30.230359,-97.741504
458,30.228055,-97.720917
3975,30.359718,-97.766647
7216,30.633795,-97.826607
6542,30.34424,-97.580604
2892,30.208545,-97.744127
1108,30.270539,-98.206818
1206,30.350266,-97.500359
1075,30.905132,-97.800454
4849,30.442467,-97.643076
1363,30.10984,-98.090537
1410,30.167629,-98.086571
1129,30.412533,-97.731664
1354,30.061194,-98.075962
68,30.238308,-97.892018
4755,30.493729,-97.826739
7214,30.825954,-97.783551
5676,30.427887,-97.451867
5643,30.546803,-97.434591
7229,30.694007,-97.85456
5401,30.507073,-97.613313
5711,30.553618,-97.48268
1225,30.783688,-97.524716
2694,30.126139,-97.640916
1253,29.893214,-97.964866
6812,29.93177,-97.935906
1248,30.291368,-98.034598
568,30.556527,-97.784048
6893,30.391138,-97.581299
4798,30.580474,-97.85324
594,30.48319,-97.56746
6253,30.496395,-97.773523
7451,30.592391,-97.535393
1092,30.474429,-97.162178
1313,30.004317,-98.18761
764,30.3165,-98.139466
2106,30.140901,-97.846645
5754,30.577677,-97.42774
4582,30.7129,-97.797916
1553,29.867764,-97.961879
2715,30.024813,-97.746917
5537,30.737231,-97.597092
6412,30.659281,-97.657317
1271,29.882033,-97.895876
2194,30.129586,-97.799486
4006,30.355995,-97.730568
23,30.374974,-97.834683
4764,30.532673,-97.835079
6418,30.198005,-97.684306
815,29.989355,-97.816935
5065,30.412904,-97.707876
6638,30.494898,-97.497682
699,30.188322,-97.952201
6891,30.421331,-97.592718
6963,30.367302,-97.981346
1078,30.837785,-97.539898
2850,30.189539,-97.703901
6209,30.388404,-97.759726
2712,30.089301,-97.693484
7083,30.596366,-97.812928
401,30.261466,-97.586183
1602,29.856022,-97.931812
3494,30.271835,-97.686237
4737,30.446217,-97.789756
2236,30.196676,-98.013609
5583,30.828043,-97.603747
2418,30.189681,-97.824843
1200,30.786327,-97.570382
