2549,"(30.231462, -97.804014)"
5083,"(30.413006, -97.690253)"
4648,"(30.453639, -97.986889)"
2287,"(30.183334, -97.849577)"
2274,"(30.315871, -97.97799)"
6413,"(30.6656, -97.659261)"
662,"(30.518844, -97.603226)"
2921,"(30.158249, -97.745726)"
1751,"(30.137567, -97.584342)"
5593,"(30.823872, -97.603529)"
5605,"(30.337551, -97.468152)"
2336,"(30.188385, -97.89214)"
3114,"(30.216563, -97.752281)"
812,"(30.103692, -97.899298)"
1115,"(30.709085, -98.002919)"
1708,"(30.149554, -97.832825)"
1197,"(30.715859, -97.509234)"
3935,"(30.374388, -97.755373)"
1113,"(30.530257, -98.103332)"
2066,"(29.993819, -97.813678)"
1101,"(30.0113, -97.687029)"
6307,"(30.275811, -97.667803)"
1247,"(30.286319, -98.064664)"
826,"(29.985158, -97.879181)"
331,"(30.304357, -97.731148)"
2608,"(30.33747, -97.864691)"
2841,"(30.337559, -97.719007)"
4708,"(30.461121, -97.793506)"
4675,"(30.511701, -97.88545)"
4889,"(30.542054, -97.55004)"
4895,"(30.53657, -97.588612)"
2361,"(30.236646, -97.900652)"
5641,"(30.451534, -97.391454)"
6847,"(30.497565, -97.58238)"
3481,"(30.272223, -97.704477)"
5270,"(30.514644, -97.671308)"
4637,"(30.545899, -97.793087)"
941,"(30.84433, -97.792283)"
500,"(30.224758, -97.664314)"
4742,"(30.504523, -97.819604)"
3345,"(30.265964, -97.73691)"
5626,"(30.480879, -97.250779)"
6349,"(30.463476, -97.681121)"
4359,"(30.335411, -97.66908)"
516,"(30.192167, -97.76229)"
5406,"(30.491332, -97.645052)"
2279,"(30.354964, -97.986207)"
2078,"(30.056751, -97.844468)"
4147,"(30.383302, -97.723823)"
154,"(30.469152, -97.769391)"
7439,"(30.320936, -97.817677)"
46,"(30.287223, -97.86426)"
2885,"(30.23855, -97.719287)"
6819,"(30.387165, -97.649876)"
5791,"(30.575209, -97.310499)"
850,"(30.629693, -97.936611)"
5437,"(30.651648, -97.577847)"
5162,"(30.508885, -97.681584)"
183,"(30.432578, -97.745077)"
873,"(30.637172, -97.681379)"
3233,"(30.213179, -97.724969)"
1085,"(30.217666, -97.479311)"
1085,"(30.217666, -97.479311)"
448,"(30.267841, -97.795414)"
4372,"(30.360613, -97.684684)"
7013,"(30.513149, -97.864687)"
2426,"(30.162464, -97.78959)"
631,"(30.51116, -97.432012)"
1506,"(29.848735, -97.943496)"
4582,"(30.7129, -97.797916)"
4,"(30.531993, -97.967226)"
5051,"(30.443586, -97.666213)"
3121,"(30.239536, -97.752609)"
750,"(30.0445, -98.141486)"
5388,"(30.436809, -97.614374)"
556,"(30.061879, -97.67384)"
1939,"(30.059516, -97.989525)"
4781,"(30.568872, -97.848488)"
2963,"(30.187735, -97.773447)"
1372,"(30.162056, -98.141627)"
5909,"(30.464817, -97.805943)"
2682,"(30.359284, -97.79047)"
3846,"(30.288233, -97.724666)"
7299,"(30.20127, -97.801723)"
28,"(30.343668, -97.905759)"
3440,"(30.218542, -97.691138)"
341,"(30.306124, -97.760175)"
4293,"(30.320796, -97.703176)"
6888,"(30.250001, -97.605147)"
6183,"(30.287559, -97.827108)"
6645,"(30.312647, -97.537075)"
6222,"(30.424195, -97.71355)"
5121,"(30.421066, -97.670517)"
6662,"(30.49638, -97.738149)"
4159,"(30.293525, -97.677438)"
8,"(30.434403, -98.083907)"
1114,"(30.659689, -98.030267)"
5275,"(30.618451, -97.696667)"
2218,"(30.201796, -97.918388)"
3988,"(30.349819, -97.750094)"
1164,"(30.405556, -97.745455)"
1341,"(29.985071, -98.089903)"
1059,"(30.506117, -97.763655)"
6617,"(30.070519, -97.718386)"
2247,"(30.178509, -98.002331)"
1962,"(29.952679, -97.837463)"
1114,"(30.659689, -98.030267)"
642,"(30.70538, -97.717715)"
4415,"(30.350236, -97.713028)"
1242,"(30.1098, -98.068304)"
4477,"(30.402029, -97.673979)"
1396,"(30.198217, -98.107129)"
4559,"(30.667956, -97.911038)"
6172,"(30.563268, -97.692015)"
3260,"(30.268219, -97.726867)"
1365,"(30.179424, -98.191269)"
7302,"(30.228134, -97.775669)"
1105,"(30.102202, -97.609481)"
4737,"(30.446217, -97.789756)"
4764,"(30.532673, -97.835079)"
3125,"(30.261799, -97.761214)"
4363,"(30.332483, -97.679633)"
4218,"(30.28608, -97.706096)"
1121,"(30.416801, -97.846884)"
2326,"(30.236655, -97.842259)"
108,"(30.575265, -97.671384)"
1080,"(30.794371, -97.425623)"
7015,"(30.792845, -97.426208)"
1982,"(29.899395, -97.905689)"
81,"(30.225853, -97.862221)"
569,"(30.560541, -97.747161)"
2893,"(30.213391, -97.745062)"
7327,"(30.40252, -97.46795)"
2080,"(30.085233, -97.874376)"
1821,"(30.020791, -97.889466)"
7352,"(30.43402, -97.896425)"
3760,"(30.332243, -97.758571)"
4593,"(30.567858, -97.776853)"
6197,"(30.3398, -97.8039)"
2937,"(30.180834, -97.750023)"
3212,"(30.237959, -97.738734)"
1084,"(30.136738, -97.560852)"
462,"(30.257482, -97.807261)"
616,"(30.274879, -97.472702)"
696,"(30.221504, -98.001452)"
1141,"(30.416815, -97.575833)"
6576,"(30.147911, -97.767159)"
753,"(30.019708, -98.232533)"
