,id,lat,long
386,3655,30.309607,-97.722473
387,2867,30.214518,-97.735299
388,1785,30.145534,-97.673128
389,7184,30.425578,-97.381898
390,3229,30.223308,-97.72218
391,525,30.195468,-97.820597
392,5531,30.85174,-97.745036
393,1536,29.865091,-97.944442
394,5378,30.446089,-97.583206
395,4611,30.835002,-97.790807
396,5502,30.758192,-97.731007
397,1915,29.887415,-97.923324
398,426,30.257898,-97.696217
399,3113,30.215515,-97.752872
400,5151,30.502953,-97.681755
401,1566,29.860948,-97.947894
402,6885,30.488796,-97.630531
403,2677,30.369555,-97.801644
404,290,30.320679,-97.720953
405,1549,29.862841,-97.959953
406,6594,30.468204,-97.699592
407,7051,30.842139,-97.885558
408,1403,30.198168,-98.161836
409,4890,30.520135,-97.544642
410,1265,29.883649,-97.922986
411,1629,29.876948,-97.935627
412,2997,30.190794,-97.744502
413,6722,30.571081,-97.794312
414,3901,30.319328,-97.738731
415,159,30.467254,-97.654187
416,1279,29.885079,-97.941552
417,5949,30.520437,-97.642424
418,4382,30.366673,-97.683664
419,6622,30.561158,-97.607713
420,6362,30.026858,-98.101147
421,3924,30.339042,-97.723383
422,2898,30.21865,-97.717933
423,3458,30.253098,-97.697273
424,6966,30.311282,-98.088111
425,1422,30.246189,-98.047347
426,7035,30.477821,-97.776844
427,5547,30.726256,-97.641778
428,3996,30.391036,-97.759181
429,3341,30.272475,-97.744542
430,48,30.308846,-97.703502
431,1711,30.140553,-97.797024
432,7094,30.571181,-97.843258
433,2871,30.242277,-97.716967
434,3517,30.346991,-97.722446
435,6411,30.651104,-97.644343
436,7042,30.695989,-97.910087
437,4181,30.311489,-97.685023
438,2626,30.283109,-97.810687
439,1826,30.019858,-97.855075
440,6833,30.561905,-97.57868
441,7305,30.173574,-97.81977
442,1653,29.880182,-97.939324
443,2884,30.214782,-97.710248
444,2743,30.106856,-97.694471
445,1656,29.882041,-97.941035
446,3730,30.325279,-97.767106
447,4572,30.590239,-97.804445
448,3230,30.219776,-97.720171
449,6373,30.545679,-97.781167
450,4532,30.362644,-97.629357
451,1755,30.158348,-97.776137
452,6176,30.257784,-97.812577
453,3078,30.223341,-97.763346
454,5261,30.495965,-97.656027
455,2897,30.213517,-97.733596
456,5433,30.605782,-97.637882
457,1652,29.88011,-97.939989
458,7002,30.206592,-97.856013
459,6653,30.499691,-97.762725
460,716,29.886506,-97.942882
461,6119,30.51323,-97.531901
462,7348,30.418653,-97.868632
463,1842,29.900238,-97.982998
464,6425,30.14907,-97.69715
465,7190,30.471719,-97.460888
466,5536,30.733059,-97.611137
467,3903,30.322612,-97.732742
468,6375,30.543386,-97.785364
469,6645,30.312647,-97.537075
470,2691,30.024991,-97.699893
471,2993,30.189512,-97.740932
472,6397,30.149191,-97.846914
473,4517,30.297339,-97.640996
474,6217,30.389365,-97.74582
475,5456,30.643828,-97.615315
476,3568,30.344633,-97.704491
477,6275,30.233325,-97.874662
478,3156,30.258218,-97.749749
479,6418,30.198005,-97.684306
480,4788,30.643704,-97.871143
481,7083,30.596366,-97.812928
482,2675,30.365612,-97.79694
483,5721,30.5734,-97.428283
484,2504,30.237683,-97.823722
485,4509,30.385635,-97.584546
486,3270,30.260661,-97.722589
487,3155,30.254656,-97.751991
488,6687,30.176707,-97.617035
489,3321,30.270216,-97.740084
490,1838,29.925388,-97.947524
491,85,30.214574,-97.836175
492,2506,30.236251,-97.822684
493,322,30.291673,-97.694168
494,230,30.383082,-97.754946
495,4591,30.852156,-97.746004
496,5454,30.636325,-97.628754
497,2232,30.269707,-97.850778
498,2211,30.275312,-97.91381
499,3492,30.269486,-97.692553
500,6427,30.11511,-97.694428
501,3296,30.254915,-97.734552
502,2502,30.217456,-97.834436
503,5447,30.587766,-97.615044
504,1253,29.893214,-97.964866
505,404,30.266418,-97.749402
506,5306,30.558124,-97.69107
507,2468,30.240218,-97.82839
508,5025,30.481985,-97.743634
509,3257,30.259558,-97.723115
510,1136,30.231017,-97.516594
511,4656,30.460705,-97.838284
512,1067,30.600584,-97.804895
513,5277,30.632714,-97.709984
514,3545,30.284126,-97.717617
515,6708,30.401309,-97.602058
516,4679,30.458053,-97.81113
517,5121,30.421066,-97.670517
518,2939,30.180521,-97.76206
519,6423,30.16385,-97.692503
520,1548,29.843249,-97.968908
521,591,29.979146,-97.846817
522,170,30.442247,-97.731102
523,329,30.314075,-97.73437
524,6665,30.430033,-97.619536
525,3457,30.250988,-97.695774
526,192,30.421209,-97.724833
527,5240,30.489776,-97.675302
528,5325,30.632772,-97.699916
529,1907,29.887342,-97.941936
530,6042,30.118382,-97.660733
531,6112,30.514524,-97.803013
532,3133,30.260731,-97.758134
533,6648,30.467055,-97.843518
534,851,30.56515,-97.878483
535,307,30.344399,-97.79414
536,332,30.299796,-97.723839
537,5442,30.551521,-97.614101
538,7333,30.406825,-98.104885
539,1735,30.267535,-97.771498
540,3834,30.292142,-97.722255
541,3126,30.271128,-97.763498
