id,lat,long,cluster
217,30.384116,-97.728635,386
218,30.379353,-97.722328,256
219,30.380339,-97.706944,285
220,30.395126,-97.69242,709
221,30.384254,-97.678624,466
222,30.380068,-97.668098,286
223,30.383394,-97.660601,53
224,30.373993,-97.650303,286
225,30.371901,-97.636824,583
226,30.357638,-97.621547,583
227,30.347504,-97.604697,141
228,30.360871,-97.581717,715
229,30.369183,-97.77245,166
230,30.383082,-97.754946,33
231,30.370937,-97.748874,673
232,30.372799,-97.738426,435
233,30.368742,-97.732737,240
234,30.365825,-97.723827,86
235,30.367008,-97.712527,63
236,30.374445,-97.714456,423
237,30.362717,-97.703016,339
238,30.365978,-97.701017,339
239,30.374479,-97.696226,339
240,30.368666,-97.687912,548
241,30.362402,-97.676517,634
242,30.35801,-97.662114,634
243,30.340503,-97.634953,109
244,30.335824,-97.616902,109
245,30.3645,-97.740699,240
246,30.361619,-97.735446,598
247,30.357612,-97.724918,86
248,30.355442,-97.7182,140
249,30.356542,-97.710188,63
250,30.354451,-97.69626,54
251,30.348438,-97.685483,179
252,30.338319,-97.690935,501
253,30.337807,-97.664499,288
254,30.333871,-97.675748,155
255,30.333513,-97.647877,380
256,30.361286,-97.757804,166
257,30.35516,-97.743801,41
258,30.350866,-97.738792,465
259,30.355362,-97.734401,41
260,30.351559,-97.727219,128
261,30.346115,-97.729428,35
262,30.348204,-97.718429,716
263,30.342425,-97.721317,35
264,30.340669,-97.709102,716
265,30.33247,-97.696583,328
266,30.32667,-97.685099,328
267,30.324017,-97.664095,580
268,30.32257,-97.651571,349
269,30.3202,-97.639453,150
270,30.325044,-97.617448,731
271,30.327527,-97.57601,83
272,30.34417,-97.558384,83
273,30.347874,-97.76121,532
274,30.341089,-97.750211,622
275,30.34102,-97.742547,622
276,30.337612,-97.733307,280
277,30.334246,-97.725896,657
278,30.328946,-97.720367,22
279,30.329197,-97.711138,321
280,30.324755,-97.698623,328
281,30.308832,-97.854872,263
282,30.353876,-97.789916,166
283,30.338864,-97.78138,532
284,30.333799,-97.76676,664
285,30.331953,-97.759891,194
286,30.332227,-97.751829,615
287,30.330139,-97.742742,257
288,30.330061,-97.735351,280
289,30.325264,-97.730682,316
290,30.320679,-97.720953,22
291,30.316483,-97.711051,412
292,30.318649,-97.702866,504
293,30.316705,-97.693892,504
294,30.316931,-97.684863,55
295,30.307248,-97.690083,55
296,30.316758,-97.672491,237
297,30.310034,-97.680821,55
298,30.300761,-97.67833,481
299,30.303255,-97.666683,490
300,30.311495,-97.65656,88
301,30.295066,-97.655743,675
302,30.305169,-97.6301,404
303,30.28759,-97.640662,632
304,30.296238,-97.606829,295
305,30.35485,-97.821754,82
306,30.339491,-97.799011,749
307,30.344399,-97.79414,258
308,30.334694,-97.786917,227
309,30.330049,-97.804386,749
310,30.32969,-97.794461,227
311,30.323452,-97.784862,742
312,30.322771,-97.790383,227
313,30.309286,-97.779878,308
314,30.319513,-97.773295,40
315,30.316399,-97.76201,664
316,30.322827,-97.748686,636
317,30.318928,-97.741563,636
318,30.318134,-97.735161,513
319,30.312636,-97.726851,538
320,30.309394,-97.719694,605
321,30.308606,-97.713911,354
322,30.291673,-97.694168,481
323,30.289535,-97.685312,481
324,30.289232,-97.674631,481
325,30.325211,-97.753043,118
326,30.312346,-97.755063,511
327,30.314377,-97.750453,318
328,30.311422,-97.745119,318
329,30.314075,-97.73437,538
330,30.307788,-97.737685,181
331,30.304357,-97.731148,181
332,30.299796,-97.723839,181
333,30.29537,-97.712677,344
334,30.320631,-97.809788,742
335,30.312617,-97.819504,123
336,30.309044,-97.806541,742
337,30.321536,-97.80207,249
338,30.316334,-97.798815,249
339,30.30976,-97.788871,249
340,30.306907,-97.770739,40
341,30.306124,-97.760175,40
342,30.304992,-97.756618,341
343,30.303114,-97.751664,180
344,30.302486,-97.747239,180
345,30.299443,-97.742797,148
346,30.29791,-97.735674,703
347,30.293084,-97.731181,170
348,30.292608,-97.727363,421
349,30.289092,-97.719395,403
350,30.287942,-97.71165,561
351,30.285307,-97.701787,344
352,30.297498,-97.777043,569
353,30.291148,-97.765987,368
354,30.296874,-97.762541,40
355,30.294723,-97.754442,347
356,30.291274,-97.745937,347
357,30.285813,-97.759194,233
358,30.285682,-97.747977,347
359,30.284903,-97.743151,489
360,30.290562,-97.742966,489
361,30.291737,-97.738284,489
362,30.285008,-97.735154,489
363,30.286926,-97.730248,170
364,30.302516,-97.818543,547
365,30.290736,-97.81223,246
366,30.300199,-97.799899,123
367,30.282386,-97.785116,123
368,30.283673,-97.780701,123
369,30.291216,-97.778414,569
370,30.283819,-97.77024,594
371,30.276309,-97.760494,612
372,30.271814,-97.752313,612
373,30.27412,-97.749925,612
374,30.276649,-97.744971,526
375,30.279904,-97.743468,526
376,30.27864,-97.738873,485
377,30.274993,-97.740269,485
378,30.271875,-97.743373,488
379,30.270625,-97.740184,700
380,30.268129,-97.744601,700
381,30.267364,-97.741182,700
382,30.266557,-97.738381,596
383,30.270537,-97.736137,700
384,30.27371,-97.733763,485
385,30.277326,-97.734167,485
386,30.282229,-97.731517,485
387,30.280795,-97.726061,437
388,30.281401,-97.723909,437
389,30.281893,-97.719348,561
390,30.283713,-97.710834,561
391,30.275893,-97.725163,450
392,30.277056,-97.718792,560
393,30.277541,-97.713445,70
394,30.278174,-97.705986,70
395,30.280929,-97.693411,92
396,30.283335,-97.680221,16
397,30.273431,-97.678189,490
398,30.271453,-97.658848,632
399,30.258811,-97.625628,714
400,30.275689,-97.620276,295
401,30.261466,-97.586183,94
402,30.271327,-97.762089,173
403,30.267524,-97.752761,612
404,30.266418,-97.749402,392
405,30.265461,-97.74621,514
406,30.264483,-97.742416,514
407,30.26393,-97.739258,596
408,30.259453,-97.741275,596
409,30.256691,-97.729877,284
410,30.261901,-97.728685,400
411,30.26616,-97.727423,417
412,30.267962,-97.722003,417
413,30.271109,-97.724436,417
414,30.272163,-97.71745,560
415,30.274171,-97.70587,70
416,30.26789,-97.709691,510
417,30.267381,-97.717513,560
418,30.264093,-97.717284,332
419,30.258199,-97.7169,400
420,30.25203,-97.722292,284
421,30.255176,-97.707214,332
422,30.261117,-97.705899,498
423,30.267416,-97.701265,498
424,30.275623,-97.694831,616
