id,lat,long
3276,30.263406,-97.730909
3277,30.261483,-97.734547
3278,30.253329,-97.743494
3279,30.257424,-97.738028
3281,30.253677,-97.737412
3283,30.255319,-97.736877
3284,30.253005,-97.73648
3285,30.253538,-97.735806
3286,30.252937,-97.734868
3287,30.256563,-97.735497
3288,30.254135,-97.744043
3289,30.250375,-97.734429
3291,30.254487,-97.737626
3292,30.257782,-97.737171
3293,30.258846,-97.735457
3294,30.256081,-97.734078
3295,30.260211,-97.737573
3296,30.254915,-97.734552
3297,30.269081,-97.74345
3298,30.263283,-97.737973
3299,30.265681,-97.738673
3300,30.268686,-97.742113
3301,30.270576,-97.741431
3302,30.266163,-97.740418
3303,30.270825,-97.738686
3304,30.268341,-97.740772
3305,30.269922,-97.739018
3306,30.268034,-97.739711
3307,30.272069,-97.739349
3308,30.271784,-97.738346
3309,30.275019,-97.73713
3310,30.261952,-97.740066
3311,30.267027,-97.740092
3312,30.267616,-97.738174
3313,30.26906,-97.735775
3314,30.269638,-97.73793
3315,30.269824,-97.735483
3316,30.270582,-97.733666
3317,30.269031,-97.734221
3318,30.272194,-97.732144
3319,30.269277,-97.733254
3320,30.269176,-97.732426
3321,30.270216,-97.740084
3322,30.27095,-97.742775
3323,30.266163,-97.736837
3324,30.265003,-97.743505
3325,30.267205,-97.744177
3326,30.266818,-97.742828
3327,30.267767,-97.74247
3328,30.26276,-97.742929
3329,30.26646,-97.74156
3330,30.265988,-97.743145
3331,30.264046,-97.741224
3332,30.268102,-97.743829
3333,30.263496,-97.745553
3334,30.266364,-97.744489
3335,30.267456,-97.745092
3336,30.267373,-97.741155
3337,30.272779,-97.742107
3338,30.274555,-97.743757
3339,30.27337,-97.74421
3340,30.273096,-97.743234
3341,30.272475,-97.744542
3342,30.272424,-97.740737
3343,30.271477,-97.741096
3344,30.265257,-97.737169
3345,30.265964,-97.73691
3346,30.2632,-97.735644
3347,30.263141,-97.734737
3348,30.263787,-97.733695
3349,30.264355,-97.736052
3350,30.264848,-97.735859
3351,30.266748,-97.73509
3352,30.268684,-97.734359
3353,30.267143,-97.736477
3354,30.272936,-97.73789
3355,30.271024,-97.735044
3356,30.272046,-97.734673
3357,30.273141,-97.734578
3358,30.271702,-97.733194
3359,30.272827,-97.732781
3360,30.275323,-97.734383
3361,30.273521,-97.732531
3362,30.272631,-97.736834
3363,30.271514,-97.737172
3364,30.271252,-97.736033
3610,30.279215,-97.748248
3611,30.285003,-97.744569
3612,30.288042,-97.747504
3613,30.287796,-97.74436
3636,30.282304,-97.744803
3637,30.283496,-97.749025
3667,30.285258,-97.747802
3768,30.279894,-97.730117
3775,30.279647,-97.73009
3777,30.28906,-97.734176
3792,30.285001,-97.730451
3793,30.285269,-97.73366
3795,30.289647,-97.741024
3796,30.287673,-97.742861
3797,30.280378,-97.737823
3798,30.287567,-97.741238
3799,30.285325,-97.741492
3800,30.2807,-97.738992
3801,30.289381,-97.736852
3803,30.289464,-97.737805
3804,30.287024,-97.733445
3805,30.283251,-97.737155
3806,30.283576,-97.741624
3807,30.279445,-97.741962
3808,30.281756,-97.742803
3809,30.282227,-97.744542
3810,30.280682,-97.745114
3811,30.281406,-97.741554
3812,30.283827,-97.744671
3813,30.28111,-97.740479
3815,30.279722,-97.735368
3816,30.283145,-97.733921
3817,30.280268,-97.73407
3819,30.289354,-97.736627
6145,30.267797,-97.733875
6146,30.267552,-97.733048
6147,30.274014,-97.730613
6148,30.27644,-97.730489
7306,30.265596,-97.743288
7446,30.260108,-97.739096
