,0
1154,104
1155,104
1156,104
1157,104
1158,104
1159,104
1160,104
1161,218
1162,218
1163,126
1164,126
1165,126
1166,126
1167,126
1168,126
1169,131
1170,131
1171,73
1172,73
1173,73
1174,73
1175,104
1176,104
1177,104
1178,126
1179,229
1180,229
1181,131
1182,131
1183,61
1184,61
1185,108
1186,108
1187,126
1188,126
1189,246
1190,246
1191,173
1192,173
1193,246
1194,246
1195,246
1196,246
1197,14
1198,14
1199,126
1200,42
1201,48
1202,48
1203,144
1204,144
1205,32
1206,32
1207,43
1208,43
1209,42
1210,42
1211,121
1212,121
1213,86
1214,86
1215,33
1216,33
1217,42
1218,218
1219,128
1220,128
1221,218
1222,126
1223,231
1224,231
1225,229
1226,229
1227,131
1228,131
1229,126
1230,201
1231,43
1232,43
1233,201
1234,14
1235,99
1236,126
1237,14
1238,14
1239,237
1240,237
1241,126
1242,126
1243,19
1244,19
1245,73
1246,73
1247,48
1248,48
1249,196
1250,196
1251,126
1252,81
1253,244
1254,244
1255,81
1256,126
1257,219
1258,219
1259,95
1260,95
1261,169
1262,169
1263,126
1264,18
1265,108
1266,108
1267,18
1268,126
1269,219
1270,219
1271,93
1272,93
1273,169
1274,169
1275,126
1276,126
1277,229
1278,229
1279,126
1280,81
1281,176
1282,176
1283,81
1284,93
1285,96
1286,96
1287,19
1288,19
1289,93
1290,93
1291,185
1292,185
1293,93
1294,93
1295,103
1296,103
1297,93
1298,18
1299,34
1300,34
1301,160
1302,160
1303,227
1304,227
1305,18
1306,93
1307,73
1308,73
1309,117
1310,117
1311,73
1312,73
1313,19
1314,19
1315,93
1316,174
1317,78
1318,78
1319,177
1320,177
1321,174
1322,187
1323,131
1324,131
1325,200
1326,200
1327,49
1328,49
1329,187
1330,187
1331,48
1332,48
1333,229
1334,229
1335,248
1336,248
1337,187
1338,187
1339,26
1340,26
1341,142
1342,142
1343,114
1344,114
1345,187
1346,187
1347,73
1348,73
1349,117
1350,117
1351,34
1352,34
1353,68
1354,68
1355,187
1356,18
1357,144
1358,144
1359,136
1360,136
1361,136
1362,136
1363,18
1364,187
1365,246
1366,246
1367,187
1368,187
1369,107
1370,107
1371,107
1372,107
1373,65
1374,65
1375,131
1376,131
1377,19
1378,19
1379,187
1380,187
1381,180
1382,180
1383,237
1384,237
1385,187
1386,187
1387,10
1388,10
1389,205
1390,205
1391,10
1392,10
1393,112
1394,112
1395,34
1396,34
1397,187
1398,187
1399,192
1400,192
1401,187
1402,18
1403,117
1404,117
1405,199
1406,199
1407,117
1408,117
1409,18
1410,187
1411,223
1412,223
1413,216
1414,216
1415,187
1416,187
1417,223
1418,223
1419,187
1420,187
1421,237
1422,237
1423,211
1424,211
1425,77
1426,77
1427,43
1428,43
1429,126
1430,126
1431,103
1432,103
1433,187
1434,187
1435,198
1436,198
1437,187
1438,187
1439,221
1440,221
1441,187
1442,18
1443,60
1444,60
1445,54
1446,54
1447,65
1448,65
1449,61
1450,61
1451,131
1452,131
1453,18
1454,124
1455,131
1456,131
1457,124
1458,187
1459,19
1460,19
1461,187
1462,187
1463,19
1464,19
1465,196
1466,196
1467,201
1468,201
1469,187
1470,187
1471,9
1472,9
1473,202
1474,202
1475,9
1476,9
1477,187
1478,187
1479,67
1480,67
1481,190
1482,190
1483,113
1484,113
1485,207
1486,207
1487,187
1488,187
1489,210
1490,210
1491,187
1492,57
1493,2
1494,2
1495,57
1496,18
1497,59
1498,59
1499,122
1500,122
1501,59
1502,59
1503,60
1504,60
1505,0
1506,0
1507,18
1508,187
1509,96
1510,96
1511,187
1512,14
1513,134
1514,134
1515,34
1516,34
1517,210
1518,210
1519,14
1520,19
1521,73
1522,73
1523,19
1524,18
1525,60
1526,60
1527,122
1528,122
1529,243
1530,243
1531,18
1532,127
1533,116
1534,116
1535,0
1536,0
1537,34
1538,34
1539,127
1540,26
1541,199
1542,199
1543,192
1544,192
1545,144
1546,144
1547,192
1548,192
1549,144
1550,144
1551,26
1552,18
1553,30
1554,30
1555,116
1556,116
1557,18
1558,127
1559,131
1560,131
1561,48
1562,48
1563,131
1564,131
1565,127
1566,14
1567,57
1568,57
1569,93
1570,93
1571,169
1572,169
1573,14
1574,18
1575,68
1576,68
1577,116
1578,116
1579,116
1580,116
1581,18
1582,18
1583,202
1584,202
1585,28
1586,28
1587,211
1588,211
1589,18
1590,173
1591,117
1592,117
1593,48
1594,48
1595,173
1596,14
1597,0
1598,0
1599,156
1600,156
1601,34
1602,34
1603,14
1604,14
1605,43
1606,43
1607,151
1608,151
1609,14
1610,18
1611,192
1612,192
1613,77
1614,77
1615,206
1616,206
1617,18
1618,14
1619,244
1620,244
1621,54
1622,54
1623,156
1624,156
1625,14
1626,14
1627,3
1628,3
1629,3
1630,3
1631,3
1632,3
1633,14
1634,14
1635,49
1636,49
1637,131
1638,131
1639,221
1640,221
1641,144
1642,144
1643,14
1644,14
1645,153
1646,153
1647,173
1648,173
1649,99
1650,99
1651,14
1652,71
1653,99
1654,99
1655,173
1656,173
1657,185
1658,185
1659,71
1660,14
1661,71
1662,71
1663,14
1664,18
1665,194
1666,194
1667,18
1668,99
1669,3
1670,3
1671,128
1672,128
1673,9
1674,9
1675,99
1676,18
1677,73
1678,73
1679,160
1680,160
1681,103
1682,103
1683,18
1684,14
1685,173
1686,173
1687,14
1688,19
1689,3
1690,3
1691,173
1692,173
1693,3
1694,3
1695,173
1696,173
1697,19
1698,19
1699,14
1700,14
1701,14
1702,14
1703,153
1704,153
1705,19
1706,19
1707,128
1708,128
1709,34
1710,34
1711,131
1712,131
1713,28
1714,28
1715,19
1716,19
1717,156
1718,156
1719,229
1720,229
1721,134
1722,134
1723,131
1724,131
1725,19
1726,128
1727,246
1728,246
1729,237
1730,237
1731,128
1732,19
1733,164
1734,164
1735,19
1736,19
1737,14
1738,14
1739,14
1740,14
1741,19
1742,19
1743,19
1744,19
1745,128
1746,128
1747,19
1748,19
1749,19
1750,19
1751,19
1752,19
1753,201
1754,201
1755,19
1756,19
1757,19
1758,19
1759,210
1760,210
1761,210
1762,210
1763,0
1764,0
1765,0
1766,0
1767,221
1768,221
1769,221
1770,221
1771,221
1772,221
1773,0
1774,0
1775,0
1776,0
1777,105
1778,105
1779,105
1780,105
1781,19
1782,19
1783,19
1784,18
1785,164
1786,164
1787,248
1788,248
1789,164
1790,164
1791,164
1792,164
1793,18
1794,128
1795,103
1796,103
1797,192
1798,192
1799,128
1800,18
1801,24
1802,24
1803,18
1804,128
1805,246
1806,246
1807,73
1808,73
1809,48
1810,48
1811,128
1812,19
1813,173
1814,173
1815,210
1816,210
1817,200
1818,200
1819,132
1820,132
1821,19
1822,128
1823,237
1824,237
1825,153
1826,153
1827,48
1828,48
1829,219
1830,219
1831,128
1832,19
1833,153
1834,153
1835,14
1836,14
1837,246
1838,246
1839,19
1840,19
1841,14
1842,14
1843,153
1844,153
1845,14
1846,14
1847,19
1848,128
1849,153
1850,153
1851,14
1852,14
1853,128
1854,128
1855,14
1856,14
1857,153
1858,153
1859,14
1860,14
1861,128
1862,19
1863,117
1864,117
1865,229
1866,229
1867,117
1868,117
1869,61
1870,61
1871,131
1872,131
1873,19
1874,128
1875,206
1876,206
1877,128
1878,18
1879,122
1880,122
1881,18
1882,128
1883,73
1884,73
1885,73
1886,73
1887,128
1888,18
1889,199
1890,199
1891,25
1892,25
1893,203
1894,203
1895,18
1896,18
1897,54
1898,54
1899,18
1900,112
1901,131
1902,131
1903,112
1904,43
1905,169
1906,169
1907,0
1908,0
1909,169
1910,169
1911,9
1912,9
1913,43
1914,18
1915,0
1916,0
1917,226
1918,226
1919,0
1920,0
1921,66
1922,66
1923,18
1924,18
1925,34
1926,34
1927,48
1928,48
1929,199
1930,199
1931,18
1932,112
1933,87
1934,87
1935,182
1936,182
1937,42
1938,42
1939,112
1940,112
1941,246
1942,246
1943,179
1944,179
1945,246
1946,246
1947,14
1948,14
1949,112
1950,43
1951,131
1952,131
1953,43
1954,43
1955,57
1956,57
1957,19
1958,19
1959,43
1960,18
1961,248
1962,248
1963,131
1964,131
1965,164
1966,164
1967,248
1968,248
1969,18
1970,201
1971,1
1972,1
1973,205
1974,205
1975,211
1976,211
1977,201
1978,43
1979,128
1980,128
1981,43
1982,18
1983,192
1984,192
1985,219
1986,219
1987,227
1988,227
1989,18
1990,18
1991,9
1992,9
1993,64
1994,64
1995,7
1996,7
1997,18
1998,18
1999,60
2000,60
2001,180
2002,180
2003,30
2004,30
2005,18
2006,43
2007,61
2008,61
2009,0
2010,0
2011,30
2012,30
2013,43
2014,112
2015,245
2016,245
2017,196
2018,196
2019,210
2020,210
2021,134
2022,134
2023,202
2024,202
2025,112
2026,18
2027,60
2028,60
2029,54
2030,54
2031,6
2032,6
2033,18
2034,43
2035,173
2036,173
2037,43
2038,18
2039,206
2040,206
2041,164
2042,164
2043,229
2044,229
2045,18
2046,112
2047,49
2048,49
2049,107
2050,107
2051,112
2052,120
2053,164
2054,164
2055,60
2056,60
2057,248
2058,248
2059,120
2060,120
2061,176
2062,176
2063,10
2064,10
2065,205
2066,205
2067,120
2068,112
2069,246
2070,246
2071,112
2072,112
2073,171
2074,171
2075,10
2076,10
2077,171
2078,171
2079,4
2080,4
2081,121
2082,121
2083,112
2084,50
2085,117
2086,117
2087,247
2088,247
2089,41
2090,41
2091,50
2092,120
2093,205
2094,205
2095,53
2096,53
2097,219
2098,219
2099,120
2100,112
2101,65
2102,65
2103,201
2104,201
2105,0
2106,0
2107,112
2108,120
2109,13
2110,13
2111,187
2112,187
2113,108
2114,108
2115,120
2116,43
2117,202
2118,202
2119,43
2120,120
2121,9
2122,9
2123,120
2124,112
2125,43
2126,43
2127,43
2128,43
2129,9
2130,9
2131,107
2132,107
2133,248
2134,248
2135,248
2136,248
2137,248
2138,248
2139,107
2140,107
2141,107
2142,107
2143,43
2144,43
2145,43
2146,43
2147,112
2148,112
2149,112
2150,120
2151,231
2152,231
2153,120
