lat,long,weight
30.283673,-97.780701,101
30.291216,-97.778414,11
30.283819,-97.77024,61
30.276309,-97.760494,341
30.271814,-97.752313,415
30.27412,-97.749925,155
30.276649,-97.744971,181
30.279904,-97.743468,203
30.27864,-97.738873,83
30.274993,-97.740269,94
30.271875,-97.743373,32
30.270625,-97.740184,23
30.268129,-97.744601,400
30.267364,-97.741182,3
30.266557,-97.738381,302
30.270537,-97.736137,7
30.27371,-97.733763,274
30.277326,-97.734167,35
30.282229,-97.731517,241
30.280795,-97.726061,11
30.281401,-97.723909,42
30.281893,-97.719348,31
30.283713,-97.710834,26
30.275893,-97.725163,49
30.277056,-97.718792,5
30.277541,-97.713445,23
30.278174,-97.705986,22
30.280929,-97.693411,37
30.283335,-97.680221,18
30.273431,-97.678189,28
30.271453,-97.658848,192
30.258811,-97.625628,1
30.275689,-97.620276,23
30.261466,-97.586183,85
30.271327,-97.762089,66
30.267524,-97.752761,129
30.266418,-97.749402,55
30.265461,-97.74621,241
30.264483,-97.742416,48
30.26393,-97.739258,27
30.259453,-97.741275,9
30.256691,-97.729877,61
30.261901,-97.728685,100
30.26616,-97.727423,39
30.267962,-97.722003,126
30.271109,-97.724436,83
30.272163,-97.71745,9
30.274171,-97.70587,24
30.26789,-97.709691,41
30.267381,-97.717513,29
30.264093,-97.717284,44
30.258199,-97.7169,124
30.25203,-97.722292,40
30.255176,-97.707214,150
30.261117,-97.705899,131
30.267416,-97.701265,113
30.275623,-97.694831,9
30.269491,-97.693985,23
30.257898,-97.696217,50
30.250378,-97.698255,3
30.258971,-97.683975,106
30.252393,-97.675294,10
30.292047,-97.826542,79
30.28751,-97.822447,58
30.279794,-97.813683,248
30.273914,-97.80577,148
30.281114,-97.79798,117
30.274313,-97.785524,95
30.269571,-97.770276,3
30.26379,-97.760172,50
30.260843,-97.753126,11
30.260153,-97.747288,92
30.256479,-97.743315,1
30.242798,-97.723846,150
30.236178,-97.713168,86
30.237023,-97.699893,33
30.231273,-97.690977,92
30.247651,-97.650627,10
30.583031,-97.893907,3
30.223538,-97.612743,5
30.267841,-97.795414,137
30.263639,-97.781663,219
30.254015,-97.779408,140
30.258468,-97.76513,243
30.254583,-97.756802,341
30.251548,-97.750714,337
30.249125,-97.74487,248
30.245798,-97.737968,31
30.241422,-97.733277,25
