head,tail,origin_addr,dest_addr,distance,duration,traffic_duration,speed_mph,
3766,361,"201 W 7th St, Austin, TX 78701, USA","105 W 27th St, Austin, TX 78705, USA",247,27,27,20.90678571,1
361,3766,"105 W 27th St, Austin, TX 78705, USA","201 W 7th St, Austin, TX 78701, USA",247,30,45,12.72586957,1.5
3799,359,"310 Inner Campus Drive, Austin, TX 78712, USA","500 W 22nd St, Austin, TX 78705, USA",169,47,45,8.707173913,0.957446809
359,3799,"500 W 22nd St, Austin, TX 78705, USA","310 Inner Campus Drive, Austin, TX 78712, USA",169,59,61,6.46016129,1.033898305
3809,359,"615 W Martin Luther King Jr Blvd, Austin, TX 78701, USA","500 W 22nd St, Austin, TX 78705, USA",485,111,112,10.17212389,1.009009009
359,3809,"500 W 22nd St, Austin, TX 78705, USA","615 W Martin Luther King Jr Blvd, Austin, TX 78701, USA",411,120,128,7.550930233,1.066666667
3611,359,"506 W 22nd St, Austin, TX 78705, USA","500 W 22nd St, Austin, TX 78705, USA",147,60,65,5.278636364,1.083333333
359,3611,"500 W 22nd St, Austin, TX 78705, USA","506 W 22nd St, Austin, TX 78705, USA",147,49,56,6.112105263,1.142857143
3807,376,"1615 Guadalupe St, Austin, TX 78701, USA","100 E 17th St, Austin, TX 78701, USA",327,146,145,5.308150685,0.993150685
376,3807,"100 E 17th St, Austin, TX 78701, USA","1615 Guadalupe St, Austin, TX 78701, USA",636,235,248,6.053493976,1.055319149
3766,360,"201 W 7th St, Austin, TX 78701, USA","600 W 26th St, Austin, TX 78705, USA",360,88,119,7.11,1.352272727
360,3766,"600 W 26th St, Austin, TX 78705, USA","201 W 7th St, Austin, TX 78701, USA",360,96,100,8.447524752,1.041666667
3796,360,"501 W 24th St, Austin, TX 78705, USA","600 W 26th St, Austin, TX 78705, USA",472,129,131,8.474545455,1.015503876
360,3796,"600 W 26th St, Austin, TX 78705, USA","501 W 24th St, Austin, TX 78705, USA",342,110,109,7.368545455,0.990909091
3666,360,"26th/Rio Grande, Austin, TX 78705, USA","600 W 26th St, Austin, TX 78705, USA",107,23,20,12.07571429,0.869565217
360,3666,"600 W 26th St, Austin, TX 78705, USA","26th/Rio Grande, Austin, TX 78705, USA",107,27,39,6.33975,1.444444444
3801,361,"2506 Speedway NMS 3.118, Austin, TX 78712, USA","105 W 27th St, Austin, TX 78705, USA",414,59,67,14.42911765,1.13559322
361,3801,"105 W 27th St, Austin, TX 78705, USA","2506 Speedway NMS 3.118, Austin, TX 78712, USA",414,81,90,10.7821978,1.111111111
5230,149,"Greenlawn/Stratford, Round Rock, TX 78664, USA","200 Dell Way, Round Rock, TX 78664, USA",2008,260,278,17.0572043,1.069230769
149,5230,"200 Dell Way, Round Rock, TX 78664, USA","Greenlawn/Stratford, Round Rock, TX 78664, USA",1636,179,192,20.08974093,1.072625698
5234,149,"800 Windsor Rd, Round Rock, TX 78664, USA","200 Dell Way, Round Rock, TX 78664, USA",2590,273,315,19.425,1.153846154
149,5234,"200 Dell Way, Round Rock, TX 78664, USA","800 Windsor Rd, Round Rock, TX 78664, USA",2152,285,352,14.44827195,1.235087719
5229,149,"332 Louis Henna Blvd, Round Rock, TX 78664, USA","200 Dell Way, Round Rock, TX 78664, USA",1974,194,213,21.86158879,1.097938144
149,5229,"200 Dell Way, Round Rock, TX 78664, USA","332 Louis Henna Blvd, Round Rock, TX 78664, USA",1998,197,243,19.40680328,1.233502538
7025,149,"201 Dell Way, Round Rock, TX 78664, USA","200 Dell Way, Round Rock, TX 78664, USA",603,86,88,16.05741573,1.023255814
149,7025,"200 Dell Way, Round Rock, TX 78664, USA","201 Dell Way, Round Rock, TX 78664, USA",3369,305,369,21.57981081,1.209836066
3147,436,"2391 Barton Springs Rd, Austin, TX 78746, USA","2228 Stratford Dr, Austin, TX 78746, USA",292,33,30,22.32387097,0.909090909
436,3147,"2228 Stratford Dr, Austin, TX 78746, USA","2391 Barton Springs Rd, Austin, TX 78746, USA",1860,223,265,16.57218045,1.188340807
3509,275,"2611 Pegram Ave, Austin, TX 78757, USA","6400 Nasco Dr, Austin, TX 78757, USA",1324,153,164,19.01745455,1.071895425
275,3509,"6400 Nasco Dr, Austin, TX 78757, USA","2611 Pegram Ave, Austin, TX 78757, USA",1324,157,172,18.13803468,1.095541401
3510,275,"6507 Burnet Rd, Austin, TX 78757, USA","6400 Nasco Dr, Austin, TX 78757, USA",841,107,107,18.45527778,1
275,3510,"6400 Nasco Dr, Austin, TX 78757, USA","6507 Burnet Rd, Austin, TX 78757, USA",794,115,117,15.94728814,1.017391304
3635,275,"6011 Shoal Creek Blvd, Austin, TX 78757, USA","6400 Nasco Dr, Austin, TX 78757, USA",538,66,69,18.21514286,1.045454545
275,3635,"6400 Nasco Dr, Austin, TX 78757, USA","6011 Shoal Creek Blvd, Austin, TX 78757, USA",538,73,77,16.34692308,1.054794521
3634,275,"5807 Bull Creek Rd, Austin, TX 78756, USA","6400 Nasco Dr, Austin, TX 78757, USA",810,101,102,18.63786408,1.00990099
275,3634,"6400 Nasco Dr, Austin, TX 78757, USA","5807 Bull Creek Rd, Austin, TX 78756, USA",810,107,109,17.45181818,1.018691589
4031,258,"7439 Burnet/Richcreek, Austin, TX 78757, USA","2610 Pinewood Terrace, Austin, TX 78757, USA",605,138,137,10.39021739,0.992753623
258,4031,"2610 Pinewood Terrace, Austin, TX 78757, USA","7439 Burnet/Richcreek, Austin, TX 78757, USA",605,146,146,9.754081633,1
3509,258,"2611 Pegram Ave, Austin, TX 78757, USA","2610 Pinewood Terrace, Austin, TX 78757, USA",959,170,167,13.52875,0.982352941
258,3509,"2610 Pinewood Terrace, Austin, TX 78757, USA","2611 Pegram Ave, Austin, TX 78757, USA",959,161,160,14.11695652,0.99378882
1129,199,"11723 Spotted Horse Dr, Austin, TX 78759, USA","11405 Santa Cruz Dr, Austin, TX 78759, USA",916,102,115,18.71482759,1.12745098
199,1129,"11405 Santa Cruz Dr, Austin, TX 78759, USA","11723 Spotted Horse Dr, Austin, TX 78759, USA",916,105,147,14.66837838,1.4
1172,203,"12195 Metric Blvd, Austin, TX 78758, USA","2206 Cedar Bend Dr, Austin, TX 78758, USA",689,78,88,18.34752809,1.128205128
203,1172,"2206 Cedar Bend Dr, Austin, TX 78758, USA","12195 Metric Blvd, Austin, TX 78758, USA",689,89,128,12.65837209,1.438202247
1258,718,"420 North St, San Marcos, TX 78666, USA","350 North St, San Marcos, TX 78666, USA",426,90,90,11.09472527,1
718,1258,"350 North St, San Marcos, TX 78666, USA","420 North St, San Marcos, TX 78666, USA",426,90,85,11.73976744,0.944444444
1261,708,"701 E Hopkins St, San Marcos, TX 78666, USA","1025 Field St, San Marcos, TX 78666, USA",513,83,82,14.64831325,0.987951807
708,1261,"1025 Field St, San Marcos, TX 78666, USA","701 E Hopkins St, San Marcos, TX 78666, USA",561,110,115,11.46181034,1.045454545
