,0,1,2
246,30.732835,-97.845932,16
247,30.704407,-97.872008,16
248,30.704594,-97.852185,16
249,30.733725,-97.794622,16
250,30.739416,-97.801233,16
251,30.727045,-97.832975,16
252,30.721099,-97.804395,16
253,30.707579,-97.85907,16
254,30.726215,-97.817829,16
255,30.546239,-97.545455,17
256,30.53844,-97.574133,17
257,30.52616,-97.553431,17
258,30.543807,-97.574228,17
259,30.54355,-97.541523,17
260,30.558687,-97.569916,17
261,30.542054,-97.55004,17
262,30.542708,-97.546166,17
263,30.539912,-97.562729,17
264,30.532516,-97.576163,17
265,30.556867,-97.534104,17
266,30.549309,-97.552697,17
267,30.520135,-97.544642,17
268,30.544749,-97.534451,17
269,30.556922,-97.559113,17
270,30.564129,-97.542984,17
271,30.557792,-97.54407,17
272,30.492385,-97.979233,18
273,30.538408,-97.892095,18
274,30.488843,-98.053644,18
275,30.510388,-98.038942,18
276,30.530257,-98.103332,18
277,30.531993,-97.967226,18
278,30.061194,-98.075962,19
279,30.083197,-98.064494,19
280,30.052957,-98.049297,19
281,30.058309,-98.049009,19
282,30.058932,-98.080648,19
283,30.183698,-97.792438,20
284,30.180322,-97.790013,20
285,30.185486,-97.802486,20
286,30.174077,-97.790784,20
287,30.180182,-97.79517,20
288,30.182422,-97.788699,20
289,30.178806,-97.78988,20
290,30.182928,-97.786171,20
291,30.172747,-97.785005,20
292,30.315871,-97.97799,21
293,30.32358,-97.939978,21
294,30.334263,-97.968559,21
295,30.342613,-97.967036,21
296,30.320471,-97.972406,21
297,30.309794,-97.965369,21
298,30.32185,-97.955313,21
299,30.319976,-98.006688,21
300,30.344271,-97.974974,21
301,30.336108,-97.970426,21
302,30.334174,-97.969506,21
303,30.323795,-97.956946,21
304,30.306929,-97.970205,21
305,30.31743,-97.949739,21
306,30.688393,-97.56823,22
307,30.710299,-97.577614,22
308,30.706254,-97.564518,22
309,30.689383,-97.584807,22
310,30.734923,-97.587176,22
311,30.684075,-97.545482,22
312,30.674731,-97.585937,22
313,30.69885,-97.549337,22
314,30.682791,-97.550049,22
315,30.676805,-97.542356,22
316,30.67681,-97.576202,22
317,30.693266,-97.574742,22
318,30.703664,-97.589123,22
319,30.745166,-97.565924,22
320,30.708926,-97.571769,22
321,30.652202,-97.567221,22
322,30.18261,-97.774018,23
323,30.166939,-97.787129,23
324,30.166859,-97.784401,23
325,30.186796,-97.773082,23
326,30.163204,-97.788333,23
327,30.169014,-97.784922,23
328,30.178169,-97.778888,23
329,30.17127,-97.782507,23
330,30.162464,-97.78959,23
331,30.169035,-97.783867,23
332,30.165459,-97.787076,23
333,30.171832,-97.781082,23
334,30.157098,-97.79141,23
335,30.183546,-97.77423,23
336,30.187735,-97.773447,23
337,30.17234,-97.782741,23
338,30.155768,-97.790981,23
339,30.172017,-97.783811,23
340,30.13889,-97.796827,24
341,30.1607,-97.802057,24
342,30.149732,-97.793656,24
343,30.142797,-97.802155,24
344,30.132946,-97.82476,24
345,30.140553,-97.797024,24
346,30.146979,-97.794565,24
347,30.140481,-97.822986,24
348,30.144604,-97.808804,24
349,30.148136,-97.793388,24
350,30.14862,-97.807197,24
351,30.145593,-97.817215,24
352,30.141052,-97.839895,24
353,30.140349,-97.832826,24
354,30.614327,-97.438935,25
355,30.63348,-97.491618,25
356,30.62556,-97.468504,25
357,30.635143,-97.475647,25
358,30.655746,-97.51178,25
359,30.657724,-97.497322,25
360,30.637256,-97.519283,25
361,30.606813,-97.450413,25
362,30.609862,-97.452101,25
363,30.658509,-97.527026,25
364,30.637913,-97.503543,25
365,30.653853,-97.477581,25
366,30.636384,-97.469742,25
367,30.642893,-97.457134,25
368,30.219776,-98.118518,26
369,30.246396,-98.12472,26
370,30.249399,-98.058146,26
371,30.220277,-98.100548,26
372,30.233872,-98.124752,26
373,30.237465,-98.065915,26
374,30.205647,-98.128349,26
375,30.198217,-98.107129,26
376,30.254291,-98.082014,26
377,30.232619,-98.041958,26
378,30.249732,-98.090132,26
379,30.246378,-98.043262,26
380,30.20463,-98.11855,26
381,30.213293,-98.084826,26
382,30.246189,-98.047347,26
383,30.456432,-97.651139,27
384,30.469124,-97.622313,27
385,30.487792,-97.63177,27
386,30.468915,-97.642391,27
387,30.472052,-97.640545,27
388,30.466123,-97.629356,27
389,30.488246,-97.634759,27
390,30.481942,-97.646667,27
391,30.475562,-97.649801,27
392,30.487989,-97.635168,27
393,30.488111,-97.6323,27
394,30.464107,-97.625553,27
395,30.465808,-97.64422,27
396,30.467254,-97.654187,27
397,30.487739,-97.630696,27
398,30.269041,-97.721462,28
399,30.262367,-97.727775,28
400,30.259558,-97.723115,28
401,30.26616,-97.727423,28
402,30.264371,-97.727658,28
403,30.264609,-97.720718,28
404,30.264093,-97.717284,28
405,30.261901,-97.728685,28
406,30.263777,-97.725985,28
407,30.265864,-97.720123,28
408,30.267962,-97.722003,28
409,30.261347,-97.724769,28
410,30.267497,-97.719366,28
411,30.261997,-97.726727,28
412,30.267381,-97.717513,28
413,30.269488,-97.71867,28
414,30.263936,-97.721037,28
415,30.268219,-97.726867,28
416,30.264512,-97.728091,28
417,30.266879,-97.72301,28
418,29.862569,-97.930338,29
419,29.856022,-97.931812,29
420,29.860462,-97.935727,29
421,29.862164,-97.937389,29
422,29.859432,-97.925423,29
423,29.857879,-97.933204,29
424,29.859356,-97.938419,29
425,29.85872,-97.934025,29
426,29.850646,-97.932248,29
427,29.859132,-97.93763,29
428,29.864771,-97.935216,29
429,29.854604,-97.930246,29
430,30.263141,-97.734737,30
431,30.253538,-97.735806,30
432,30.234153,-97.740107,30
433,30.267552,-97.733048,30
434,30.262686,-97.734949,30
435,30.249646,-97.735046,30
436,30.243739,-97.734619,30
437,30.23864,-97.737457,30
438,30.252937,-97.734868,30
439,30.258013,-97.736368,30
440,30.250375,-97.734429,30
441,29.89425,-97.928245,31
442,29.891985,-97.926032,31
443,29.887943,-97.936567,31
444,29.889904,-97.935206,31
445,29.891716,-97.926737,31
446,29.89017,-97.935888,31
447,29.886856,-97.937814,31
448,29.888847,-97.933304,31
449,29.895579,-97.932475,31
450,29.893192,-97.93209,31
451,29.889409,-97.931367,31
452,29.888698,-97.934407,31
453,29.8872,-97.937886,31
454,30.278945,-97.724252,32
455,30.274963,-97.729499,32
456,30.278674,-97.726099,32
457,30.278565,-97.726784,32
458,30.275893,-97.725163,32
459,30.278853,-97.727813,32
460,30.272687,-97.730293,32
461,30.280392,-97.727442,32
462,30.280088,-97.724897,32
463,30.280937,-97.726549,32
464,30.273985,-97.729822,32
465,30.280795,-97.726061,32
466,30.278252,-97.728161,32
467,30.336239,-97.693998,33
468,30.332629,-97.687068,33
469,30.359977,-97.685992,33
470,30.365679,-97.682373,33
471,30.351975,-97.690174,33
472,30.348201,-97.692554,33
473,30.352993,-97.690388,33
474,30.341325,-97.697866,33
475,30.34784,-97.693688,33
476,30.328765,-97.678082,33
477,30.375385,-97.528483,34
478,30.34856,-97.558961,34
479,30.349086,-97.555105,34
480,30.348954,-97.559336,34
481,30.34769,-97.564928,34
482,30.360871,-97.581717,34
483,30.349157,-97.53651,34
484,30.349435,-97.537993,34
485,30.349516,-97.521539,34
486,30.35486,-97.554176,34
487,30.352148,-97.536244,34
488,30.367369,-97.528273,34
489,29.823166,-97.952518,35
490,29.827805,-97.94526,35
491,29.80906,-97.987707,35
492,29.786936,-97.976479,35
493,29.823926,-97.980733,35
494,29.773576,-97.997444,35
495,29.806774,-97.978529,35
496,29.807481,-97.955,35
497,29.804461,-97.982193,35
498,29.815446,-97.96404,35
499,29.813303,-97.980242,35
500,29.780004,-97.992683,35
501,29.820649,-97.955213,35
502,29.829786,-97.960602,35
503,29.826534,-97.980837,35
504,29.836644,-97.955373,35
505,29.813421,-97.967589,35
506,29.80115,-97.994277,35
507,29.819746,-97.975514,35
508,29.830284,-97.96121,35
509,29.797524,-97.994277,35
510,29.828217,-97.944615,35
511,29.796368,-97.968037,35
512,30.274993,-97.740269,36
513,30.276069,-97.743195,36
514,30.271252,-97.736033,36
