,0
1069993842,490
"(30.45983578011164, -97.85705524036698)",490
1069997721,490
"(30.383738192179294, -97.84512501750065)",338
1070183187,338
"(30.4760318061669, -97.76476434277113)",34
1071891682,34
"(30.516431625241246, -97.68223797199684)",476
1071994757,476
"(30.471037799145563, -97.79034089670576)",424
1072051131,424
"(30.466545095266586, -97.80495952789295)",424
1072051132,424
"(30.471101799204238, -97.79012029623695)",424
1072051212,424
"(30.4678582973148, -97.7976528123186)",424
1072077277,424
"(30.468349897743973, -97.79603690887278)",424
1072077283,424
"(30.46922499758102, -97.7962527092924)",424
1072077307,424
"(30.468667497074556, -97.79815101334022)",424
1072077309,424
"(30.447075898868537, -97.8002435186939)",94
1072084403,94
"(30.447096797400885, -97.80510222901907)",94
1072084423,94
"(30.44708209689574, -97.80677993259069)",94
1072084458,94
"(30.483255429367084, -97.68140107178334)",357
1072176302,357
"(30.48311952947995, -97.68105747109954)",357
1072176305,357
"(30.483223629469883, -97.68104987107976)",357
1072176315,357
"(30.483138429377075, -97.68141437181508)",357
1072176316,357
"(30.48302682942436, -97.68129317157664)",357
1072176318,357
"(30.486175292535304, -97.80674023082857)",197
1073300410,197
"(30.486283892367002, -97.80726003193061)",197
1073333985,197
"(30.272364838215374, -97.7354955896039)",14
1073400827,14
"(30.27223683836746, -97.73503678866287)",14
1073400830,14
"(30.271932938729073, -97.73394528642496)",14
1073400837,14
"(30.271810538878707, -97.73349228549638)",14
1073400849,14
"(30.27177263908072, -97.73283108413703)",14
1073400872,14
"(30.271778939115055, -97.73271378389555)",14
1073400874,14
"(30.271801839306246, -97.73206508256058)",14
1073400882,14
"(30.272066238728893, -97.73389438631608)",14
1073400932,14
"(30.272358938367, -97.73499108856501)",14
1073400938,14
"(30.272498138201637, -97.73548998958827)",14
1073400952,14
"(30.27258173810234, -97.73578949020268)",14
1073400958,14
"(30.272960537652114, -97.73714709298874)",14
1073400962,14
"(30.27325593730091, -97.73820559516223)",14
1073400968,14
"(30.2733788370817, -97.73888969656964)",14
1073400971,14
"(30.2734009370605, -97.73895189669729)",14
1073400976,14
"(30.273437537029306, -97.73904189688184)",14
1073400984,14
"(30.568818425424908, -97.65942142398781)",251
1075447540,251
"(30.56414052480947, -97.66365423262742)",251
1075743759,251
"(30.567913624694835, -97.66245823006696)",251
1075743818,251
"(30.567191524111063, -97.66488183492483)",251
1075743986,251
"(30.55479476304958, -97.52449226508922)",403
1076040257,403
"(30.55711775977075, -97.53608348662786)",403
1076040281,403
"(30.55684265484186, -97.55515912252763)",144
1076040286,144
"(30.556844860319885, -97.53409108291119)",403
1076040298,403
"(30.274009438790973, -97.73293408428007)",14
1077599034,14
"(30.27308803872641, -97.73350708548755)",14
1077600420,14
"(30.274943738829027, -97.73244458324432)",14
1077840194,14
"(30.271433639082044, -97.73295798440853)",14
1077840215,14
"(30.270673038945276, -97.7337099859793)",14
1078806498,14
"(30.48690643023071, -97.67681336242588)",357
1080679191,357
"(30.48537603056129, -97.67627756141914)",357
1080679214,357
"(30.487875129936906, -97.6774531636655)",357
1080679233,357
"(30.509224424959772, -97.68624018036516)",76
1080691708,76
"(30.5093820251063, -97.68565437917975)",76
1080691724,76
"(30.557537125944673, -97.66236213037149)",251
1080705774,251
"(30.557673225674094, -97.66328343219784)",251
1080705807,251
"(30.56058332501983, -97.6644099343015)",251
1080705816,251
"(30.29821431537126, -97.80100952583234)",48
1080822050,48
"(30.298387715315393, -97.80112742607714)",48
1080822052,48
"(30.298253415309013, -97.8011972262298)",48
1080822056,48
"(30.469182047984678, -97.62045185178206)",72
1081378461,72
"(30.465017647305846, -97.62474446033725)",72
1081378467,72
"(30.462269049427636, -97.61821414770988)",72
1081380837,72
"(30.46389254913177, -97.61858244835972)",72
1081380842,72
"(30.465835148710315, -97.61926944961729)",72
1081380846,72
"(30.466811248496036, -97.61962395026741)",72
1081380848,72
"(30.467600748326536, -97.61989675076613)",72
1081380849,72
"(30.468389148154028, -97.62018105128735)",72
1081380851,72
"(30.468938047771346, -97.6213368535187)",72
1081382317,72
"(30.467911847470496, -97.62288205657781)",72
1081384864,72
"(30.467897547705547, -97.6220317549185)",72
1081384866,72
"(30.436550353713322, -97.6138607402901)",148
1081486540,148
"(30.436610053671174, -97.61398804053522)",148
1081486543,148
"(30.443392354051827, -97.60961903177497)",148
1081486544,148
"(30.43831265377813, -97.61285143825724)",148
1081486548,148
"(30.45076975444591, -97.6049190223648)",248
1081486551,248
"(30.44591915418867, -97.6080048285414)",148
1081486552,148
"(30.455920654579476, -97.60214541678695)",248
1081486554,248
"(30.440452553892346, -97.61149493553556)",148
1081486556,148
"(30.45083665439891, -97.6050618226385)",248
1081486558,248
"(30.464704055134927, -97.59618770492033)",248
1081486563,248
"(30.447218954258258, -97.60717642688262)",148
1081486565,148
"(30.442616354012603, -97.61010403274766)",148
1081486569,148
"(30.5198062624328, -97.5435013022451)",83
1082443533,83
"(30.517619562398494, -97.54466060452206)",83
1082443552,83
"(30.53471768083306, -97.82768677342159)",273
1116485048,273
"(30.12910996367477, -98.01361400497257)",138
1125501440,138
"(30.12902236347476, -98.01420990637095)",138
1125501588,138
"(30.546465056291595, -97.9034856386958)",165
1157630853,165
"(30.546593754942435, -97.90775494820436)",165
1157630862,165
"(30.00563713139794, -97.8534685453744)",68
1177422146,68
"(30.073823435188963, -97.81836136851715)",39
1177446089,39
"(30.073960236960104, -97.81278825659872)",39
1177446112,39
"(30.07304843499765, -97.81922897038903)",39
1177446127,39
"(30.0781356362317, -97.8135916582379)",39
1177446166,39
"(30.077257636281157, -97.81374665858523)",39
1177446217,39
"(30.079459236535616, -97.81217475518766)",39
1177446222,39
"(30.07332673638009, -97.8148222609556)",39
1177446234,39
"(30.069500534457415, -97.82215107671566)",39
1177446268,39
"(30.076832937136007, -97.81122455320828)",39
1177446334,39
"(30.072920435294506, -97.81834936850787)",39
1177446352,39
"(30.068733234548546, -97.82213607669722)",39
1177446373,39
"(30.0792439357402, -97.81473646066354)",39
1177446405,39
"(30.071072635515925, -97.81830806845286)",39
1177446412,39
"(30.073452537287658, -97.81194395480546)",39
1177446420,39
"(30.0787454363449, -97.81302285701175)",39
1177446428,39
"(30.080171736282157, -97.81271575632945)",39
1177446447,39
"(30.07116823490669, -97.8201707724406)",39
1177446462,39
"(30.071044635233637, -97.8191966703561)",39
1177446467,39
"(30.07706253690281, -97.81187265458715)",39
1177446496,39
"(30.076309136885595, -97.81219245528371)",39
1177446498,39
"(30.08074273600802, -97.81337135771892)",39
1177446512,39
"(30.07640643581263, -97.81550926236791)",39
1177446540,39
"(30.06792083374281, -97.82492118268858)",39
1177446542,39
"(30.076115635645877, -97.81613186370463)",39
1177446555,39
"(30.074510936728608, -97.81331715771819)",39
1177446568,39
"(30.07373973435014, -97.82100197417543)",39
1177446571,39
"(30.07078273254911, -97.82762618844993)",211
1177446573,211
"(30.07762623653985, -97.8128083565744)",39
1177446576,39
"(30.075501736751793, -97.81289545679947)",39
1177446579,39
"(30.07815253573627, -97.81513306153145)",39
1177446582,39
"(30.08145983630859, -97.81217835515804)",39
1177446594,39
"(30.0748769372521, -97.81155235394368)",39
1177446597,39
"(30.07414303515193, -97.81836456851819)",39
1177446602,39
"(30.067973334642925, -97.82210837665137)",39
1177446604,39
"(30.068790833736394, -97.82463778206457)",39
1177446610,39
"(30.071915235902193, -97.81680896522947)",39
1177446629,39
"(30.077887636385967, -97.81319705739966)",39
1177446637,39
"(30.07374553547487, -97.81749786667027)",39
1177446642,39
"(30.071902436051484, -97.81634806424378)",39
1177446644,39
"(30.079301736074086, -97.81367295838996)",39
1177446670,39
"(30.07304283442853, -97.82100197418805)",39
1177446673,39
"(30.078664836919984, -97.81125305323523)",39
1177446675,39
"(30.07767313602185, -97.81441015999526)",39
1177446679,39
"(30.073054734713196, -97.82011217228091)",39
1177446710,39
"(30.075307336838033, -97.81269445637382)",39
1177446712,39
"(30.070828834295284, -97.82219067677677)",39
1177446721,39
"(30.07799593690195, -97.81154575387224)",39
1177446753,39
"(30.07702973591625, -97.81496646119606)",39
1177446754,39
"(30.077972634051346, -97.82044957291397)",39
1177471674,39
"(30.562627863381994, -97.87498347486272)",291
1180065551,291
"(30.562105362964477, -97.87652577827843)",291
1180065552,291
"(30.2670430387403, -97.73579839039044)",281
1190061488,281
"(30.421478650985247, -97.63030137298124)",468
1192518758,468
"(30.422310549398702, -97.63565428345153)",468
1192518769,468
"(30.416258545775793, -97.65120191434771)",146
1192518783,146
"(30.420184151415604, -97.62930877108754)",468
1192518784,468
"(30.421835846321937, -97.64688590559497)",146
1192518786,146
"(30.419055046976865, -97.64572810341836)",146
1192518789,146
"(30.419558646148218, -97.64847420882302)",146
1192518797,146
"(30.42127485405486, -97.61929485147698)",468
1192518815,468
